RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Denali NP & PRES,National Park,1904,
Alaska Region,Denali NP & PRES,National Park,1905,
Alaska Region,Denali NP & PRES,National Park,1906,
Alaska Region,Denali NP & PRES,National Park,1907,
Alaska Region,Denali NP & PRES,National Park,1908,
Alaska Region,Denali NP & PRES,National Park,1909,
Alaska Region,Denali NP & PRES,National Park,1910,
Alaska Region,Denali NP & PRES,National Park,1911,
Alaska Region,Denali NP & PRES,National Park,1912,
Alaska Region,Denali NP & PRES,National Park,1913,
Alaska Region,Denali NP & PRES,National Park,1914,
Alaska Region,Denali NP & PRES,National Park,1915,
Alaska Region,Denali NP & PRES,National Park,1916,
Alaska Region,Denali NP & PRES,National Park,1917,
Alaska Region,Denali NP & PRES,National Park,1918,
Alaska Region,Denali NP & PRES,National Park,1919,
Alaska Region,Denali NP & PRES,National Park,1920,
Alaska Region,Denali NP & PRES,National Park,1921,
Alaska Region,Denali NP & PRES,National Park,1922,7
Alaska Region,Denali NP & PRES,National Park,1923,34
Alaska Region,Denali NP & PRES,National Park,1924,62
Alaska Region,Denali NP & PRES,National Park,1925,206
Alaska Region,Denali NP & PRES,National Park,1926,533
Alaska Region,Denali NP & PRES,National Park,1927,651
Alaska Region,Denali NP & PRES,National Park,1928,802
Alaska Region,Denali NP & PRES,National Park,1929,1038
Alaska Region,Denali NP & PRES,National Park,1930,951
Alaska Region,Denali NP & PRES,National Park,1931,771
Alaska Region,Denali NP & PRES,National Park,1932,357
Alaska Region,Denali NP & PRES,National Park,1933,386
Alaska Region,Denali NP & PRES,National Park,1934,628
Alaska Region,Denali NP & PRES,National Park,1935,877
Alaska Region,Denali NP & PRES,National Park,1936,1073
Alaska Region,Denali NP & PRES,National Park,1937,1378
Alaska Region,Denali NP & PRES,National Park,1938,1487
Alaska Region,Denali NP & PRES,National Park,1939,2262
Alaska Region,Denali NP & PRES,National Park,1940,1201
Alaska Region,Denali NP & PRES,National Park,1941,1688
Alaska Region,Denali NP & PRES,National Park,1942,5
Alaska Region,Denali NP & PRES,National Park,1943,12
Alaska Region,Denali NP & PRES,National Park,1944,0
Alaska Region,Denali NP & PRES,National Park,1945,19
Alaska Region,Denali NP & PRES,National Park,1946,1134
Alaska Region,Denali NP & PRES,National Park,1947,3466
Alaska Region,Denali NP & PRES,National Park,1948,4512
Alaska Region,Denali NP & PRES,National Park,1949,4831
Alaska Region,Denali NP & PRES,National Park,1950,6672
Alaska Region,Denali NP & PRES,National Park,1951,7807
Alaska Region,Denali NP & PRES,National Park,1952,7310
Alaska Region,Denali NP & PRES,National Park,1953,6839
Alaska Region,Denali NP & PRES,National Park,1954,5000
Alaska Region,Denali NP & PRES,National Park,1955,3400
Alaska Region,Denali NP & PRES,National Park,1956,5200
Alaska Region,Denali NP & PRES,National Park,1957,10700
Alaska Region,Denali NP & PRES,National Park,1958,25900
Alaska Region,Denali NP & PRES,National Park,1959,25800
Alaska Region,Denali NP & PRES,National Park,1960,22500
Alaska Region,Denali NP & PRES,National Park,1961,18300
Alaska Region,Denali NP & PRES,National Park,1962,16600
Alaska Region,Denali NP & PRES,National Park,1963,18400
Alaska Region,Denali NP & PRES,National Park,1964,19200
Alaska Region,Denali NP & PRES,National Park,1965,21400
Alaska Region,Denali NP & PRES,National Park,1966,31300
Alaska Region,Denali NP & PRES,National Park,1967,39800
Alaska Region,Denali NP & PRES,National Park,1968,33300
Alaska Region,Denali NP & PRES,National Park,1969,45400
Alaska Region,Denali NP & PRES,National Park,1970,46000
Alaska Region,Denali NP & PRES,National Park,1971,44500
Alaska Region,Denali NP & PRES,National Park,1972,88625
Alaska Region,Denali NP & PRES,National Park,1973,137300
Alaska Region,Denali NP & PRES,National Park,1974,161400
Alaska Region,Denali NP & PRES,National Park,1975,160600
Alaska Region,Denali NP & PRES,National Park,1976,157600
Alaska Region,Denali NP & PRES,National Park,1977,183200
Alaska Region,Denali NP & PRES,National Park,1978,223000
Alaska Region,Denali NP & PRES,National Park,1979,251105
Alaska Region,Denali NP & PRES,National Park,1980,216361
Alaska Region,Denali NP & PRES,National Park,1981,256593
Alaska Region,Denali NP & PRES,National Park,1982,321868
