Park,Species,Acres,Visitors
Acadia National Park,1709,47390,3303393
Arches National Park,1048,76519,1585718
Badlands National Park,1389,242756,996263
Big Bend National Park,2269,801163,388290
Biscayne National Park,1726,172924,514709
Black Canyon of the Gunnison National Park,1106,32950,238018
Bryce Canyon National Park,1286,35835,2365110
Canyonlands National Park,1223,337598,776218
Capitol Reef National Park,1566,241904,1064904
Carlsbad Caverns National Park,1536,46766,466773
Channel Islands National Park,1885,249561,364807
Congaree National Park,2321,26546,143843
Crater Lake National Park,3760,183224,756344
Cuyahoga Valley National Park,1941,32950,2423390
Denali National Park and Preserve,1320,3372402,587412
Death Valley National Park,4439,4740912,1296283
Dry Tortugas National Park,848,64701,73661
Everglades National Park,2084,1508538,930907
Gates Of The Arctic National Park and Preserve,1353,7523898,10047
Glacier National Park,2556,1013572,2946681
Glacier Bay National Park and Preserve,1957,3224840,520171
Great Basin National Park,2653,77180,144846
Grand Canyon National Park,2622,1217403,5969811
Great Sand Dunes National Park and Preserve,952,42984,388308
Great Smoky Mountains National Park,6623,521490,11312786
Grand Teton National Park,2030,309995,3270076
Guadalupe Mountains National Park,1746,86416,181839
Haleakala National Park,2580,29094,1263558
Hawaii Volcanoes National Park,3298,323431,1887580
Hot Springs National Park,1950,5550,1544300
Isle Royale National Park,1397,571790,24966
Joshua Tree National Park,2294,789745,2505286
Katmai National Park and Preserve,1225,3674530,37818
Kenai Fjords National Park,1057,669983,346534
Kobuk Valley National Park,1025,1750717,15500
Lake Clark National Park and Preserve,2007,2619733,21102
Lassen Volcanic National Park,1797,106372,536068
Mammoth Cave National Park,2499,52830,586514
Mesa Verde National Park,1243,52122,583527
Mount Rainier National Park,1743,235625,1356913
North Cascades National Park,3363,504781,28646
Olympic National Park,1948,922651,3390221
Petrified Forest National Park,853,93533,643274
Pinnacles National Park,1416,26606,215555
Redwood National Park,6310,112512,536297
Rocky Mountain National Park,3152,265828,4517585
Saguaro National Park,1834,91440,820426
Sequoia and Kings Canyon National Parks,1995,865952,1862167
Shenandoah National Park,4655,199045,1437341
Theodore Roosevelt National Park,1165,70447,753880
Voyageurs National Park,1453,218200,241912
Wind Cave National Park,1395,28295,617377
Wrangell - St Elias National Park and Preserve,1796,8323148,79047
Yellowstone National Park,3966,2219791,4257177
Yosemite National Park,2088,761266,5028868
Zion National Park,1796,146598,4295127
